Event	ID	Name			Wwise Object Path	Notes
	153136435	lion			\Default Work Unit\lion	
	185173510	little_die			\Default Work Unit\little_die	
	1044246946	big_die			\Default Work Unit\big_die	
	1116398592	hit			\Default Work Unit\hit	
	1182229359	peg			\Default Work Unit\peg	
	1544370296	orangutan			\Default Work Unit\orangutan	
	2041272125	wolf			\Default Work Unit\wolf	
	2678880713	fire			\Default Work Unit\fire	
	2857840038	not_hit			\Default Work Unit\not_hit	
	2935967122	sheep			\Default Work Unit\sheep	
	3050945240	New_Event			\Default Work Unit\New_Event	
	3372056997	middle_die			\Default Work Unit\middle_die	
	3761376310	open_door_walk_in			\Default Work Unit\open_door_walk_in	
	3854606522	tiger			\Default Work Unit\tiger	
	3854847584	horse			\Default Work Unit\horse	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	45669304	巨型怪物死亡倒地	E:\makegameengineatnight\Github\files\audio_wwise\hunter\wwise_proj\.cache\Windows\SFX\巨型怪物死亡倒地_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\大型怪物死亡\巨型怪物死亡倒地		150206
	69722603	wolf_one	E:\makegameengineatnight\Github\files\audio_wwise\hunter\wwise_proj\.cache\Windows\SFX\wolf_one_CE0C2250.wem		\Actor-Mixer Hierarchy\Default Work Unit\狼\wolf_one		111784
	94269076	树形怪物死亡	E:\makegameengineatnight\Github\files\audio_wwise\hunter\wwise_proj\.cache\Windows\SFX\树形怪物死亡_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\大型怪物死亡\树形怪物死亡		516016
	109112998	fire	E:\makegameengineatnight\Github\files\audio_wwise\hunter\wwise_proj\.cache\Windows\SFX\fire_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\开火\fire		70316
	116244705	car_lock	E:\makegameengineatnight\Github\files\audio_wwise\hunter\wwise_proj\.cache\Windows\SFX\car_lock_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\开场\car_lock		27806
	133443536	希望不要遇到它	E:\makegameengineatnight\Github\files\audio_wwise\hunter\wwise_proj\.cache\Windows\SFX\希望不要遇到它_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\这么远都能听到狼的声音,希望不要遇到它\希望不要遇到它		56384
	192046997	恶魔怪物死亡痛苦的声音	E:\makegameengineatnight\Github\files\audio_wwise\hunter\wwise_proj\.cache\Windows\SFX\恶魔怪物死亡痛苦的声音_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\大型怪物死亡\恶魔怪物死亡痛苦的声音		103016
	234840562	闹市	E:\makegameengineatnight\Github\files\audio_wwise\hunter\wwise_proj\.cache\Windows\SFX\闹市_D79FB2B7.wem		\Actor-Mixer Hierarchy\Default Work Unit\闹市\闹市		481694
	238657489	lion	E:\makegameengineatnight\Github\files\audio_wwise\hunter\wwise_proj\.cache\Windows\SFX\lion_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\狮子\lion		200032
	240836405	horse_die	E:\makegameengineatnight\Github\files\audio_wwise\hunter\wwise_proj\.cache\Windows\SFX\horse_die_E0F7E806.wem		\Actor-Mixer Hierarchy\Default Work Unit\马\horse_die		392760
	242684069	庞然大物倒地死亡	E:\makegameengineatnight\Github\files\audio_wwise\hunter\wwise_proj\.cache\Windows\SFX\庞然大物倒地死亡_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\大型怪物死亡\庞然大物倒地死亡		152640
	259719128	注意听声音位置	E:\makegameengineatnight\Github\files\audio_wwise\hunter\wwise_proj\.cache\Windows\SFX\注意听声音位置_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\操作指引\注意听声音位置		48064
	298074970	open_door	E:\makegameengineatnight\Github\files\audio_wwise\hunter\wwise_proj\.cache\Windows\SFX\open_door_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\开场\open_door		408832
	314258591	客人早上好-小露	E:\makegameengineatnight\Github\files\audio_wwise\hunter\wwise_proj\.cache\Windows\SFX\客人早上好-小露_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\客人早上好\客人早上好-小露		46144
	353800492	死亡	E:\makegameengineatnight\Github\files\audio_wwise\hunter\wwise_proj\.cache\Windows\SFX\死亡_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\中型怪物死亡\死亡		135616
	411547133	pig	E:\makegameengineatnight\Github\files\audio_wwise\hunter\wwise_proj\.cache\Windows\SFX\pig_5D992E6D.wem		\Actor-Mixer Hierarchy\Default Work Unit\猪\pig		121168
	415587178	游戏中僵尸死亡前的吼叫声	E:\makegameengineatnight\Github\files\audio_wwise\hunter\wwise_proj\.cache\Windows\SFX\游戏中僵尸死亡前的吼叫声_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\中型怪物死亡\游戏中僵尸死亡前的吼叫声		92376
	464349162	这么远都能听到狼的声音	E:\makegameengineatnight\Github\files\audio_wwise\hunter\wwise_proj\.cache\Windows\SFX\这么远都能听到狼的声音_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\这么远都能听到狼的声音,希望不要遇到它\这么远都能听到狼的声音		64704
